Document,Document|urn:iso:std:iso:20022:tech:xsd:pacs.004.001.09
Document/PmtRtr/GrpHdr/MsgId|NONREF,Document
Document/PmtRtr/GrpHdr/CreDtTm|Date,Document
Document/PmtRtr/GrpHdr/NbOfTxs,Document/FICdtTrf/GrpHdr/NbOfTxs
Document/PmtRtr/GrpHdr/SttlmInf/SttlmMtd,Document/FICdtTrf/GrpHdr/SttlmInf/SttlmMtd
Document/PmtRtr/GrpHdr/SttlmInf/ClrSys/Cd,Document/FICdtTrf/GrpHdr/SttlmInf/ClrSys/Cd
Document/PmtRtr/TxInf/OrgnlGrpInf/OrgnlMsgId,Document/FICdtTrf/GrpHdr/MsgId
Document/PmtRtr/TxInf/OrgnlGrpInf/OrgnlMsgNmId|MsgNm,Document
Document/PmtRtr/TxInf/OrgnlInstrId,Document/FICdtTrf/CdtTrfTxInf/PmtId/InstrId
Document/PmtRtr/TxInf/OrgnlEndToEndId,Document/FICdtTrf/CdtTrfTxInf/PmtId/EndToEndId
Document/PmtRtr/TxInf/OrgnlUETR,Document/FICdtTrf/CdtTrfTxInf/PmtId/UETR
Document/PmtRtr/TxInf/OrgnlIntrBkSttlmAmt,Document/FICdtTrf/CdtTrfTxInf/IntrBkSttlmAmt
Document/PmtRtr/TxInf/OrgnlIntrBkSttlmDt,Document/FICdtTrf/CdtTrfTxInf/IntrBkSttlmDt
Document/PmtRtr/TxInf/RtrdIntrBkSttlmAmt,Document/FICdtTrf/CdtTrfTxInf/IntrBkSttlmAmt
Document/PmtRtr/TxInf/IntrBkSttlmDt|Date,Document
Document/PmtRtr/TxInf/InstgAgt,Document/FICdtTrf/CdtTrfTxInf/InstdAgt
Document/PmtRtr/TxInf/InstdAgt,Document/FICdtTrf/CdtTrfTxInf/InstgAgt
Document/PmtRtr/TxInf/RtrChain/Dbtr/Agt,Document/FICdtTrf/CdtTrfTxInf/Cdtr
Document/PmtRtr/TxInf/RtrChain/DbtrAgt,Document/FICdtTrf/CdtTrfTxInf/InstdAgt
Document/PmtRtr/TxInf/RtrChain/CdtrAgt,Document/FICdtTrf/CdtTrfTxInf/InstgAgt
Document/PmtRtr/TxInf/RtrChain/Cdtr/Agt,Document/FICdtTrf/CdtTrfTxInf/Dbtr
Document/PmtRtr/TxInf/RtrRsnInf/Rsn/Cd|CUST,Document
